,publish_date,headline_text,GPT_category,GPT_confidence_score
796807,20130621,melanesian spearhead group signs off on a,World,0.7
532692,20100420,liverpool focused despite travel woes,Sports,0.9
130103,20041126,restrictions lifted on ukraine tv channel,World,0.9
714882,20120809,ovine johnes disease on the increase in wa,Sci/Tech,0.9
620469,20110615,stocks gain on renewed economic confidence,Business,0.9
29072,20030709,bus strike parties in talks,Business,0.8
249364,20060714,japan ends five year rates hold,Business,0.9
569367,20101014,elderly womans alleged attacker extradited,World,0.9
860552,20140316,qantas future flying kangaroo peter ryan,Business,0.85
1215168,20200924,tasmania government changes to public tenancy laws,World,0.9
743890,20121127,arafat body to be exhumed in poison inquiry,World,0.9
1092579,20170803,concerns of financial abuse raised in wake of hilda survey,Business,0.85
1231118,20210215,which countries already have the pfizer biontech vaccine,World,0.9
885368,20140630,indonesian expats active in upcoming election,World,0.9
913732,20141104,australian dollar has a wild ride,Business,0.9
1011416,20160219,foreign correspondent philip williams untangles,World,0.9
934796,20150228,centennial coal workers in lake macquarie win discrimination ca,Business,0.9
671853,20120213,artist wins bafta,Other,0.95
1171832,20190730,private health insurers heading towards crisis as,Business,0.9
1050221,20160928,pigeon racing facing extinction,Sports,0.9
176318,20050717,police seek girl after 18th birthday party,World,0.7
1091190,20170724,shawn newton arrested after wa manhunt,World,0.9
252889,20060731,wa ministers head for karratha,World,0.7
988680,20151027,rail car deferral sign of tired wa government,World,0.7
644870,20111013,canberra dementia march,World,0.7
215502,20060130,labor plans to pay apprentices tafe fees,Business,0.9
953772,20150525,shivnarine chanderpaul dropped from west indies,Sports,0.9
51332,20031027,chinese president talks sars trade in nz,World,0.9
461384,20090510,bushfire public hearings begin tomorrow,World,0.9
1037154,20160714,hobart woman jailed after conning man on online dating site,Other,0.9
255128,20060811,govt to consult industry on detention improvements,World,0.9
670293,20120205,man faces court after drugs found in car home,World,0.9
915144,20141110,greater taree and great lakes councils at odds over new regiona,World,0.7
714693,20120809,business developments promise jobs boost,Business,0.9
738187,20121105,thousands turn out for melbourne cup parade,Sports,0.9
1093907,20170812,australia donates patrol boats to pacific islands,World,0.9
277301,20070104,fc wont appeal salary cap sentence,Sports,0.9
36028,20030811,more schools join preparatory year trial,World,0.6
472317,20090702,bookkeeper did not hide nuttall transaction,Business,0.9
922373,20141211,news exchange thursday december 11,Other,0.6
1077485,20170409,chelsea march on towards title with win over bournemouth,Sports,0.9
635776,20110830,10th hendra virus death,Sci/Tech,0.9
346142,20071124,nz to play charity twenty20 against bangladesh,Sports,1
1066621,20170120,kimberley cattle country soaked by january rains,World,0.7
902050,20140911,huon aquaculture to list on the asx,Business,0.9
328066,20070902,power sharing talks have stalled bhutto,World,0.9
1236500,20210513,insolvencies fell in half during the pandemic,Business,0.9
598020,20110301,air strike on libyan rebel base,World,0.9
180831,20050808,qld nationals weigh telstra trust fund amount,Business,0.9
925747,20150102,tree branch traps camper in sydney caravan park,World,0.7
438764,20090123,wounded digger keen to return to afghanistan,World,0.85
1121398,20180325,harvest helpers reducing backyard fruit waste and feeding needy,World,0.7
69705,20040131,megawati quiet on iraq oil voucher claims,World,0.9
736886,20121031,png touch footy,Sports,0.9
1101164,20171005,andrew fifita opts for tonga after being named in kangaroos squ,Sports,0.9
247694,20060706,israeli tanks roll into northern gaza,World,0.9
509974,20091230,interview ricky ponting,Sports,0.9
592258,20110204,police reinforcements help prevent looting,World,0.9
698796,20120529,seedy business,Business,0.7
181942,20050814,aussies chasing 423 to win after england declare,Sports,1
642140,20110929,state unveils statue of sir charles court,World,0.85
982427,20150930,us whistleblower snowden draws crowd with twitter debut,World,0.9
1199030,20200516,former mcdonalds worker in ongoing battle over stock photo,Business,0.9
54590,20031112,new hospital helipad begins operating,Other,0.9
80879,20040326,downer defends iraq troop numbers,World,0.9
76418,20040304,nsw premier labelled irrational,World,0.7
71370,20040209,jackson on oscars path with dga award,Other,0.9
92777,20040526,cyclists set for high powered worlds,Sports,0.9
78245,20040313,police officer charged with kidnap sexual assault,World,0.9
28405,20030705,rann announces review into secret a g probe,World,0.6
73654,20040220,cracked tanker enters sydney harbour,World,0.9
80161,20040323,court refuses dna bid over moran killing,World,0.9
32093,20030723,manslaughter case raises domestic violence,World,0.9
70207,20040203,katherine on track for ghan arrival,World,0.7
37290,20030817,sabotage deprives 300000 iraqis of water icrc,World,0.9
73629,20040220,biota shares bolstered by bird flu windfall,Business,0.9
9607,20030405,us jobs show worse than expected drop in march,Business,0.95
79972,20040322,howard remains tight lipped on keelty talks,World,0.7
83157,20040406,four soldiers killed in iraq clashes,World,1
88704,20040504,one killed in nsw train derailment,World,0.9
14075,20030428,canberra gets a tick for fire recovery,World,0.9
78565,20040315,perth chokes on smoke haze,World,0.9
50509,20031022,youhana out of second test,Sports,0.9
89111,20040506,inmate tells of murder accuseds cannibalism brag,World,0.9
47254,20031007,pm abbott urge doctors cooperation over medical,World,0.9
74666,20040225,eminem sues apple over lose yourself,Business,0.9
26053,20030624,fears skin cancer warnings not getting through,Sci/Tech,0.9
52792,20031103,dump appeal a waste of money minister says,World,0.6
55222,20031115,murdoch survives bskyb shareholder revolt,Business,0.9
34612,20030804,qld nationals vote to abolish stamp duty,Business,0.9
495,20030221,claims live sheep cattle exports threatening tas,World,0.7
11997,20030417,police to monitor drivers on new freeway section,Other,0.9
11765,20030416,powell insists syria not a target,World,0.95
20268,20030528,coles myer deal overly ambitious woolies chief,Business,0.9
94309,20040602,norfolk island inquest reveals victims injuries,World,0.9
64459,20040104,former sa premier des corcoran dead at 75,World,0.9
52812,20031103,govts anti terrorism push a diversion,World,0.9
79877,20040321,williams fearing malaysia fireworks,Sports,0.9
8901,20030402,hearing into child cruelty charges continues,World,0.9
73828,20040220,two thai cats die of bird flu,World,0.85
15461,20030505,dragons prove too good for sharks,Sports,0.9
5752,20030319,anti war protesters unhappy with troop commitment,World,0.9
55937,20031119,hospital memo sparks conflict of interest debate,World,0.7
52945,20031103,stronger dollar takes toll on wool growers,Business,0.93
44589,20030924,cant pay your tax bill put it on credit,Business,0.9
58423,20031201,stone bros to appeal ingall penalty,Sports,0.9
95480,20040608,modified reef pontoon gets go ahead,Sci/Tech,0.9
22172,20030605,st kilda man detained after alleged flight threat,World,0.9
86871,20040425,thousands gather at war memorial in canberra,World,0.9
58148,20031130,italy india sign technology pact,World,0.9
9976,20030407,un team uncovers horrors of congo violence,World,0.9
59949,20031209,alcohol dispute breaks out over 50m fine,Business,0.9
10226,20030409,all seeing tour guide spots nys eyes,Other,0.6
84524,20040413,powerboat club hopes to host international event,Sports,0.9
1209,20030224,zim churchman takes aim at aussies,World,0.7
11477,20030415,games to go ahead despite sars govt,Sports,0.8
20714,20030530,bob hope celebrates 100th birthday,Other,0.9
94900,20040605,contractors killed on road to baghdad airport,World,0.9
23918,20030613,sharks lose chairman ceo,Sports,0.9
61386,20031215,wa environment dept gives mill site all clear,World,0.7
84890,20040415,doctors take action over mersey hospital services,World,0.7
12797,20030421,real confident of recapturing form for old,Sports,0.9
29386,20030710,keep aged care facility open says shadow minister,Other,0.9
41176,20030905,uruguay demands fishing inspectors release,World,0.95
17438,20030514,rusedski suffers another injury blow,Sports,0.9
79441,20040319,hope fades for man overboard,World,0.9
8886,20030402,goldfields tops wa in number of syringe users,World,0.7
40788,20030904,community to farewell former catholic bishop,World,0.9
18406,20030519,storm blacks out thousands,World,0.9
95566,20040608,warriors sign cowboys utility,Sports,0.95
88806,20040505,bali warning claims need clarification keelty,World,0.9
55229,20031115,pills shouldnt be first option for arthritis,Sci/Tech,0.9
166,20030219,smoking bans hit tabcorp bottom line,Business,0.9
10324,20030409,minister says prisoner wont be returned to qld,World,0.9
83377,20040407,everton to accept ferguson ban,Sports,0.9
67115,20040118,allan fades to fifth in hawaii,Sports,0.7
11703,20030416,hanson campaign fails as counting ends,World,0.9
75693,20040301,islamic jihad warns israel of black days,World,0.9
3698,20030308,labor blasts delay in deporting iraq spy,World,0.9
58409,20031201,safety bureau to probe emergency landing,World,0.9
1176,20030224,survey highlights extended trading hours support,Business,0.9
29667,20030711,new research into qld spanner crab industry,Sci/Tech,0.7
88718,20040504,police probe armidale computer theft,World,0.8
24638,20030617,qld honey firm signs sweet deal with argentina,Business,0.9
38095,20030821,gold coast to capitalise on local sporting ability,Sports,0.9
10148,20030408,politics obscuring bushfire debate academic,World,0.9
89030,20040506,animal to human diseases increasing expert warns,Sci/Tech,0.9
25573,20030621,uni fire not considered suspicious,World,0.7
74605,20040225,allstars match to remain in darwin,Sports,0.9
48600,20031014,central qld survey uncovers bad driving habits,Other,0.9
54964,20031114,crows chairman not seeking re election,Sports,0.9
90509,20040513,more injuries for port ahead of kangaroos clash,Sports,0.9
98498,20040622,skywest profit not so high,Business,0.9
23920,20030613,shires back plan to keep school building,Other,0.7
33647,20030730,sierra leones former rebel leader dead,World,0.9
97950,20040620,councils reject heavy handed tactics criticism,World,0.7
99372,20040626,tight security in ireland for bush talks with eu,World,0.9
6827,20030324,british journalist believed killed by friendly fire,World,0.9
28067,20030703,wa national park makes world heritage list,World,0.9
88503,20040503,sharon vows gaza retreat despite party vote,World,0.9
86989,20040426,lawyers may still handle nauru appeal,World,0.7
33654,20030730,sorenstam fit but emotionally drained for british,Sports,0.9
43338,20030917,police search for stolen car containing baby,World,0.9
89899,20040510,tas local councils condemn govt bid to change,World,0.7
15304,20030504,democrats push for g g to resign,World,0.9
23316,20030611,first blood to nsw as johns spoils qlds party again,Sports,0.9
78764,20040316,mav backs council amidst bias claims,World,0.6
48452,20031013,legendary jockey shoemaker dies at home,Sports,0.9
23463,20030611,tsvangirai in court over anti government protests,World,0.9
82848,20040405,accused killer blamed parents,World,0.9
45899,20030930,wagga rsl club protests pokies tax plan,Business,0.9
10812,20030411,sars could be biological weapon experts,Sci/Tech,0.9
6729,20030323,pm urges nsw libs to keep brogden as leader,World,0.7
39851,20030830,mcmanaman set for man city,Sports,0.9
53798,20031108,govt denies tight budget behind police fee rise,World,0.85
93312,20040528,moree councillor urges indigenous people to vote,World,0.9
51063,20031025,madame chiang kai shek dies at the age of 106,World,0.9
17571,20030515,flintoff in doubt for zimbabwe tests,Sports,0.95
23832,20030613,man convicted of abalone theft,Other,0.9
50257,20031021,woman in critical state after shed blast,World,0.9
82412,20040402,kangaroo cull last resort for development,World,0.9
46908,20031006,canadas comeback king out after tragic injury blow,Sports,0.9
17545,20030515,crean to set 80pc bulk bill target,World,0.7
26918,20030627,straw denies weapons intelligence exaggerated,World,0.9
52491,20031031,virgin blue plans asx float,Business,0.9
15094,20030502,study to help determine quake probability,Sci/Tech,0.9
73496,20040219,launceston man acquitted of rape charge,World,0.95
98553,20040623,apartment developers oppose sewerage costs,Business,0.9
5258,20030316,rovers blow title race wide open,Sports,0.9
48705,20031014,new map provides alternatives for tourists,World,0.7
3100,20030305,nsw govt to fund election promises from budget,Business,0.9
18620,20030520,officer seeks damages after fall at child care,Other,0.7
68663,20040126,water patrols uncover fishing breaches,Other,0.9
39081,20030826,police hunt home invaders,World,0.9
97223,20040616,public urged to help find missing teen,Other,1
14166,20030428,n korea offers to scrap nuclear program report,World,0.9
94493,20040603,growth slowdown hits dollar,Business,0.9
23674,20030612,shires to talk merger possibilities,Business,0.9
971,20030224,beef prices set to rise,Business,0.9
88384,20040503,droves of visitors flock to outback muster,World,0.7
26462,20030625,voss possible for lions return,Sports,0.9
71110,20040207,seven protesters arrested outside nato meeting,World,0.9
15817,20030506,spanish fishermen to challenge courts authority,World,0.9
27275,20030630,downing st bbc row continues,World,0.9
69575,20040130,ses struggling to repair qld storm damage,World,0.9
40679,20030903,resort set to get new owner,Business,0.9
22430,20030606,un envoy in burma to see suu kyi,World,0.9
59459,20031206,bush appoints oilman to solve iraqs debt,World,0.9
20393,20030528,qld tenants union praise new database laws,World,0.7
63741,20031230,one iraqi killed another injured in baghdad blast,World,0.9
14367,20030429,known truck faults put firefighters lives at risk,World,0.85
52914,20031103,race club in running for award win,Sports,0.9
90952,20040515,us names five nba players to 2004 olympic roster,Sports,1
52898,20031103,png passport printing machine suspected stolen,World,0.85
98274,20040621,teachers strike gains parental support,Other,0.9
31485,20030720,woods faces foreign territory in sandwich victory,Sports,0.9
56073,20031120,betsen ban too harsh says maso,Sports,0.9
67730,20040121,search ends for ship survivors in norway,World,0.9
90066,20040511,mine water contamination report delayed,World,0.9
13100,20030423,beattie urges labor to quit character assassination,World,0.7
77380,20040309,police consider fires suspicious,World,0.9
90510,20040513,mortars fired near italian embassy in baghdad,World,0.9
43922,20030920,ireland to press ahead with smoking ban,World,0.9
99489,20040627,sex abuse criticism surprised hollingworth,World,0.85
980,20030224,cabinet meets to balance budget priorities,Business,0.9
54722,20031113,development organisation looking to forum industry,Business,0.7
86104,20040421,n korean leader made secret trip to china,World,0.9
66023,20040112,interest strong in albany tourism plan,Business,0.9
81428,20040329,changing climate puts qld tropics at risk,Sci/Tech,0.9
93603,20040530,gillespie clarke set up australia series win,Sports,0.9
41931,20030910,crean questions govt over leaked wilkie report,World,0.7
15812,20030506,shale oil production could meet aust needs spp,Business,0.9
30267,20030714,vic police investigate sex slavery,World,0.9
9732,20030406,qld a g to appeal sentences over baby death,World,0.9
45867,20030930,sydney airport fuel shortage under investigation,Business,0.9
38825,20030825,life sentence for record cocaine haul,World,0.9
49233,20031016,reality shows set to dominate world tv scene,World,0.6
49674,20031019,armstrong completes trans us tour of hope,Sports,0.9
89830,20040510,modest fleming plays down tag of crickets best,Sports,0.9
73737,20040220,mass animal deaths spark trench fill call,World,0.85
82132,20040401,council ordered to pay compo over tree death,Other,0.8
95069,20040606,martian rover faces risky crater test,Sci/Tech,0.95
72612,20040215,man dies at perth beach,World,0.9
99836,20040629,injured sailors praise for rathbone,World,0.7
58495,20031202,brooke backs mitchell as all blacks coach,Sports,0.95
32989,20030727,two children killed in vic house fire,World,1
19715,20030525,south korea to hold nkorea policy talks with us,World,0.9
49024,20031015,toowoomba precinct project gets green light,Business,0.9
9167,20030403,nz man rolled by own scam,World,0.7
61565,20031216,police unhappy with alcohol offences,World,0.9
13115,20030423,brown hopeful blacklock will return,Sports,0.9
53495,20031106,treasurer questions reserve bank drought reading,Business,0.95
23433,20030611,scammer on the prowl in wa,Other,0.9
52225,20031030,survey shows indigenous people earn less rent more,World,0.9
28458,20030706,chopper crash in brazilian oil fields kills 5,World,0.9
44499,20030923,scientist says moggie malaise makes men morose,Sci/Tech,0.85
63832,20031231,blasts at coal mine and fireworks factory kill 10,World,0.9
98124,20040621,ex anglican minister reported over child sex claims,World,0.95
33215,20030728,vic cabinet ministers in mildura,World,0.7
37445,20030818,man dies in car crash,Other,1
19590,20030525,algeria quake toll surpasses 2000,World,0.9
89772,20040510,doctor to represent riverina during torch relay,Sports,0.9
67270,20040119,four arrested on drugs charges,World,0.9
48486,20031013,nt seeks to crack down on child abuse,World,0.9
25379,20030620,talks to discuss making wind turbine blades,Sci/Tech,0.9
7962,20030329,buddhist leader tells forum of peace confusion,World,0.9
83792,20040409,brumbies get first half bonus point,Sports,1
67890,20040122,man jailed for scratching police spitting on court,World,0.9
71815,20040211,independent applauds oppositions super reform plans,Business,0.9
99619,20040628,man burnt in home explosion,World,0.9
47691,20031009,lack of sperm donors renders uni program infertile,Sci/Tech,0.7
52625,20031102,aussies exact swift revenge over india,Sports,0.9
98269,20040621,states urged to lift limitations on sex crime cases,World,0.7
80411,20040324,cyclists pedal towards ms research,Sports,0.7
12011,20030417,red cross says water flowing in baghdad,World,0.9
35670,20030809,england make changes ahead of third test,Sports,0.9
21314,20030602,dfat to hold inquiry into iraqi document leak,World,0.9
50505,20031022,will the real fiji please stand up demands coach,Sports,0.9
87500,20040428,nsw considers limits on govt website,Other,0.7
648,20030221,salinity experts map water catchments,Sci/Tech,0.9
49138,20031016,iluka begins redundancies planning,Business,0.9
44275,20030922,rogers sixth in grand prix tt,Sports,0.9
19493,20030524,hoggard leaves zimbabwe facing uphill battle,Sports,0.9
38251,20030821,womens draw strengths and weaknesses,Sports,0.7
24571,20030617,indian boy breeds beetle eggs in his body,World,0.7
89633,20040509,broncos charge ahead in canberra,Sports,0.9
33736,20030731,consultant appointed to nbl,Sports,0.7
49197,20031016,no extended daylight saving for vic,Other,0.9
85745,20040419,tweed hosting shadow cabinet,World,0.7
92320,20040524,darcy pleads not guilty to sex abuse allegations,World,0.9
2218,20030301,chechen rebel groups branded terrorists by us,World,0.9
34727,20030805,court told child detainees will need ongoing,World,0.9
6940,20030324,no deadline put on medical talks,World,0.7
71917,20040211,troubled health service meets with local mps,World,0.9
46390,20031003,accused drug trafficking cop overworked,World,0.9
98551,20040623,anomaly allows priest accused of sex abuse to stay,World,0.9
60172,20031209,wa takes control against tas,Sports,0.9
20180,20030527,stronger dollar signals gold concerns,Business,0.9
99965,20040630,afl takes aim at aru over schedule clash,Sports,0.9
36155,20030812,broken arm casts doubt over skinstads world cup,Sports,0.9
393,20030220,ronaldo puts real back in the race,Sports,1
48040,20031010,wa expert urges overhaul of water consumption,Sci/Tech,0.7
61057,20031214,cometh the hour cometh the men,Sports,0.7
39490,20030828,pga tour returns to boston,Sports,0.95
76848,20040306,vietnam leader visits communist ally in cuba,World,0.9
20403,20030528,ruling sparks spate of migration appeals,World,0.9
30340,20030715,court told murdered baby was tortured,World,1
63817,20031231,air traffic up when landing fees down rex,Business,0.9
78294,20040314,15 australians honoured as national living,World,0.9
85518,20040418,police still looking for missing woman,World,0.9
60766,20031212,hodge takes extended leave,Sports,0.7
47489,20031008,opposition questions dodgy medical indemnity,World,0.7
97695,20040618,saints storm back to sink hawks,Sports,0.9
27924,20030703,council to audit goal post safety,Sports,0.9
49701,20031019,federal police museum displays bali evidence,World,0.9
5240,20030316,nth qld man fights against friends deportation,World,0.9
13496,20030424,upsets at national rowing championships,Sports,0.9
70366,20040204,company pleads guilty to environmental charges,Business,0.9
93894,20040531,two charged over babys murder,World,0.9
78722,20040316,health service defends equipment sell off,World,0.7
59475,20031206,developer rejects nepean building claims,Business,0.85
28602,20030707,burke says nt needs economic boost,Business,0.8
550,20030221,iaea to visit iran to assess nuclear program,World,0.9
6199,20030321,australian troop morale is high govt,World,0.9
88699,20040504,n korea denounces al qaeda report,World,0.9
95721,20040609,new agriculture think tank aims to drive rural,Business,0.85
39463,20030828,man to face court on murder charge,World,0.95
72832,20040216,probe begins into north qld industrial accident,World,0.9
82393,20040402,growers happy with eased water restrictions,World,0.6
96584,20040613,second senior iraqi official assassinated,World,0.9
52989,20031104,bomb blast rocks turkish embassy,World,1
46350,20031002,talks continue over stranded sheep,World,0.9
66698,20040115,plane makes emergency landing in china,World,0.9
12969,20030422,mclaren wait for june as ferrari turn corner,Sports,0.95
21522,20030603,beckhams plea to england hooligans,Sports,0.9
1462,20030226,accc asks court to seize conman fosters passport,World,0.9
11400,20030415,arab countries take a stand against us,World,0.9
20252,20030528,blackburn reject birmingham bid for dunn,Sports,0.9
68926,20040128,big crowd expected for local govt reform rally,World,0.7
50852,20031024,hauritz watson cleared to play one dayer,Sports,0.9
87640,20040429,council adopts new rating scheme,Other,0.7
13686,20030425,stoudemire named nba rookie of the year,Sports,1
38226,20030821,support in country victoria for jailed hanson,World,0.7
19310,20030523,kidd leads nets surge towards nba finals,Sports,0.95
42806,20030915,education in the spotlight in berri,World,0.7
90358,20040512,tourism leaders not surprised by qantas surcharge,Business,0.9
2645,20030303,lifesavers honoured at gold coast ceremony,World,0.7
10377,20030409,sex ed should start young study,Sci/Tech,0.7
38842,20030825,night of records for cowboys,Sports,0.9
4694,20030313,kalgoorlie boulder housing market on top,Business,0.9
97041,20040615,whale group warns of watching dangers,Sci/Tech,0.85
4900,20030314,health insurance will go up yearly aca,Business,0.9
33267,20030729,catchment boards meet over green funds,Business,0.7
1496,20030226,bryants scoring streaks end but lakers streak,Sports,0.9
20903,20030530,sydney police seize 4500 ecstasy tablets,World,0.9
22806,20030609,business sa challenging national pay rise,Business,0.9
12168,20030418,man lucky to be alive after clinging to bonnet of,Other,0.9
97946,20040620,chavez media boss lay ground rules for recall,World,0.9
95121,20040606,warriors give coach dream start,Sports,0.95
89697,20040509,one killed as shiites protest pakistan suicide bomb,World,0.9
83077,20040406,aged care workers protest against government,World,0.9
80696,20040325,group withdraws french rail bomb threats,World,0.9
41045,20030905,expert considers flying youth mental health service,World,0.7
4629,20030313,crean calls for restart of n dump site search,World,0.65
30980,20030717,terrorists making money from pirated sales interpol,World,0.9
5011,20030314,unemployment rate on the rise,Business,0.9
30649,20030716,lecturer experiences ups and downs of setting,Other,0.6
2798,20030304,clark defends wifes public funded holiday,World,0.7
6437,20030322,civilian injuries reported in baghdad,World,0.9
6090,20030320,missiles didnt contain chemicals report,World,0.9
8813,20030402,all ords flat after retail figures released,Business,0.9
54028,20031110,angry woodward flays faltering england,Sports,0.9
30959,20030717,sao tome ministers in difficult conditions families,World,0.7
89513,20040508,clijsters pulls out of french open,Sports,1
20200,20030527,virus concerns cancel trial wheat plantings,Sci/Tech,0.9
90082,20040511,nt hopes for funding for juvenile diversion,World,0.7
30323,20030715,caldow accepts top job in england,Business,0.6
63070,20031225,melbourne police tell boxing day crowd to behave,World,0.9
97029,20040615,unions take up redundancy fight for wa workers,Business,0.9
58799,20031203,judge to rule on dismissing clark charges,World,0.7
93497,20040529,gillespie clarke set up australia series win,Sports,0.95
8308,20030330,teachers urge minister to focus on aboriginal,World,0.95
93385,20040528,stevens return boosts crows,Sports,0.9
39703,20030829,new surprises in store for royal adelaide show,Other,0.7
10122,20030408,no election for dardanup,World,0.7
79358,20040319,asteroid to make closest known pass by earth,Sci/Tech,0.9
88261,20040502,iraq kidnappers say they wont harm italian hostages,World,0.9
62007,20031218,probe ordered into nauru protest,World,0.9
57295,20031126,church weddings now the minority,World,0.8
71575,20040210,irish govt seeks response to looted nazi art claims,World,0.9
5836,20030319,hundreds of firefighters battle mt martha blaze,World,0.9
7928,20030328,us says market blast may never be solved,World,0.9
17883,20030516,rates to rise in lismore council budget,Business,0.9
12359,20030419,hot air balloon crashes in melbourne no injuries,World,0.9
22339,20030606,more state federal resource management cooperation,World,0.6
99902,20040629,refugees reach australia after nauru detention,World,0.9
56110,20031120,dpi says wild dogs cost qld beef industry,Business,0.9
39864,20030830,nsw firefighters battle bush blazes,World,0.9
62783,20031223,queen delivers christmas speech by mobile phone,World,0.9
20565,20030529,incoming accc chief wants good rural relationship,Business,0.75
14281,20030429,aust delegation trying to secure rebuilding work,World,0.9
7315,20030326,copyright changes should mean cheaper software,Business,0.9
67842,20040122,farmers urged to seek drought aid,World,0.9
60838,20031212,public hospital nurses get pay boost,World,0.9
44270,20030922,residents air powerline approach concerns,Other,0.9
39819,20030830,ferry passengers stranded as suspect package found,World,0.9
2397,20030302,chirac remains opposed to us led war in iraq,World,0.9
9221,20030403,taurimas season in doubt after ankle injury,Sports,0.95
82321,20040402,al qaeda planning memo targets australians report,World,0.9
38188,20030821,probe begins into derailment,World,0.9
76714,20040306,attack injures four british soldiers in iraq,World,1
88979,20040505,sew far sew good for sewing bird,Other,0.9
95079,20040606,police test car for stabbing death clues,World,0.9
52551,20031101,indigenous make up 29pc of nt population,World,0.95
48096,20031011,gaza raid violates international law un,World,0.95
48867,20031015,drivers get salt lake warning,World,0.7
10485,20030410,doubts raised about boarding school benefits,Other,0.9
32519,20030725,fed govt urged to be sensible with drought funds,World,0.7
91073,20040516,west indies scramble past bangladesh,Sports,0.9
30676,20030716,n korea a real threat pm,World,0.9
17518,20030515,cannes prepares to enter the matrix,Sci/Tech,0.9
55952,20031119,longreach to hold own rm williams service,Other,0.7
61299,20031215,nsw libs call for health royal commission,World,0.7
5492,20030317,us hits phones in last bid for iraq mandate,World,0.9
6247,20030321,farmers businesses to get flood relief,Business,0.9
53252,20031105,reserve bank lifts interest rates,Business,1
31370,20030720,aged care sector critical of fed govt funding,Business,0.9
68139,20040123,police set for png deployment,World,0.9
50850,20031024,handler heads off on tiger rescue mission,World,0.7
31028,20030718,beattie to hear ambulance need,Other,0.7
30937,20030717,priest proves no comfort in shadow of death,World,0.85
26679,20030626,ten dead in jordan bridge collapse,World,0.9
5132,20030315,queenslander anlezark fifth in birmingham,Sports,0.95
70745,20040205,water association backs plan for irrigation loans,Business,0.9
77846,20040311,parry back to business after play off triumph,Sports,0.9
83484,20040407,primary industries merger means job losses says,Business,0.95
1158,20030224,sa govt hoping to seize profits of crime,World,0.9
62592,20031222,park education centre angers timber industry,Business,0.7
97644,20040618,legal action taken to stop indigenous art leaving,World,0.9
25214,20030620,coach graham left me montgomery,Sports,0.7
751,20030222,kangaroos thump essendon hawks edge saints,Sports,0.9
65434,20040109,aust to ease impact of japans beef ban,World,0.85
2492,20030302,struggling modena snatch draw with parma,Sports,1
15530,20030505,mop up underway after turkish quake,World,0.9
21578,20030603,france without zidane for confederations cup,Sports,1
19485,20030524,french minister to meet with arafat despite us,World,0.9
80157,20040323,council candidates urged to stay real,Other,0.8
93458,20040529,builders seek federal help for training,Business,0.9
81918,20040331,five dead in canary island helicopter crash,World,1
32869,20030727,aust ministers arrive in singapore for regional,World,0.9
7524,20030327,canberra considers v8 race return,Sports,0.9
18111,20030518,death toll rises in morocco suicide blasts,World,1
19838,20030526,indonesia steps up aceh campaign against rebels,World,0.9
88456,20040503,new vision for shires group,Business,0.7
29910,20030713,around 4000 attend tas anti logging rally,World,0.9
53983,20031109,rescue workers search for riyadh bombing survivors,World,0.9
28547,20030706,tendulkar fully fit after hand surgery,Sports,0.9
33503,20030730,conditional support for national sex register,World,0.7
82965,20040405,maryboroughs future on agenda of govt meeting,World,0.7
58773,20031203,german flick tops shortlist for european film,World,0.7
